Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Rionegro,Comercial,Comercial,Acueducto,10571.09,0.00,0.00,4851.75,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Comercial,Comercial,Alcantarillado,6079.76,0.00,0.00,3892.71,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Industrial,Industrial,Acueducto,9161.61,0.00,0.00,4204.85,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Industrial,Industrial,Alcantarillado,5269.12,0.00,0.00,3373.68,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.14,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,1,Acueducto,2114.22,970.35,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,1,Alcantarillado,1215.95,778.54,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,2,Acueducto,4228.43,1940.70,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,2,Alcantarillado,2431.90,1557.08,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,3,Acueducto,5990.28,2749.33,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,3,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,4,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,4,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,5,Acueducto,10571.09,4851.75,4851.75,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Rionegro,Residencial,5,Alcantarillado,6079.76,3892.71,3892.71,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
